"International Activity Name","Description","IA Country","Activity Type"
"Invited Research Talks at Chinese Culture University","Invited Research Talks at Chinese Culture University","Taiwan, China","Research"
"Transnational Consumer Behavior Research","Dr. Tsai's research focuses on transnational consumers, including Hispanic and Asian immigrants as well as international students","Taiwan, China","Research"
"Computing in Communication Teaching and Research","Invited presentation on “Computing in Communication Teaching and Research,” Jiao Tong University, Shanghai, China, May 27, 2019.","Taiwan, China","Research"
"Cross-cultural research in Asia and among Asian immigrants in the US","Dr. Li conducts research in different cultural contexts, both within the United States (e.g, Asian immigrant community) and outside of the United States (e.g., Taiwan and India). Her primary research interests are public relations and health communication with a focus on the strategic planning, application, and evaluation of communication campaigns that mobilize publics and facilitate health education, promotion, and equality. Specifically, she has investigated topics such as mental health advocacy, sexual assault awareness, hospital-community partnerships, and cultural influence on environmental corporate social responsibility.","Taiwan, China","Research"
"Invited Research Talk at National Taiwan Normal University","Invited Research Talk at National Taiwan Normal University","Taiwan, China","Research"
"Modeling Temporal Tonal Relations in Polyphonic Music through Deep Networks","Invited presentation on “Modeling Temporal Tonal Relations in Polyphonic Music through Deep Networks with a Novel Image-Based Representation” in the 5th Taiwanese Music and Audio Computing Workshop, May 24, 2018, Academia Sinica, Taipei, Taiwan.","Taiwan, China","Research"
"Human-Centered Approaches Towards Music Analysis and Synthesis","An invited talk on “Music Computation and Cognition: Human-centered approaches towards music analysis and synthesis,” Academia Sinica, June 13, Taipei, Taiwan, 2013.","Taiwan, China","Research"
"Study Tour Taking Students to Thailand in Cooperation with FIU","Study tour involving immersing US students in Thai culture","Thailand","Education"
"Review of Previous Research locations and data in Thailand and Cambodia, 2017","From 2001 to 2008 I carried out large scale studies of human trafficking for the US State Dept and the UN under UNIAP, 2017 was a check on data after a decade.","Thailand","Research"
"Review of Thai Likely Human Trafficking sites; + Study Abroad Group","To locate venues, determine: type of venue, number of workers, ages of workers, customer demographics, any forced or debt bonded workers, etc.","Thailand","Research"
"Petty Offense Communication Workshop","1-day workshop with international human rights advocates dedicated to decriminalizing petty offenses and therefore poverty and homelessness. Participants were invited ahead of a 2-day symposium hosted by the School of Law's Human Rights Clinic. 25 people from across Africa (including South Africa, Nigeria, Kenya, Uganda) Caribbean, Israel, and the US received communication training re: media interviews, social media, design thinking for specific audiences and contexts, and storytelling in general. Sessions lead by School of Communication faculty, Miami journalists, and members of Open Society Foundations, which sponsored the workshop.","Trinidad & Tobago","Education"
"Games for a Caribbean Climate","Professor Lien Tran received a grant from Invoking the Pause to introduce the use of games with local and regional climate and disaster risk management organizations in Barbados. In June 2014, Professor Tran organized and co-facilitated a 2-day workshop called ""Let's Adapt: Games for Climate Change Resiliency"" along with team members Reynette Royer from the IFRC's Red Cross Caribbean Disaster Risk Management Reference Center (CADRIM), Mini Saraswati from the Red Cross Red Crescent Climate Centre (RCCC), and Professor Clay Ewing (also from UM's School of Communication). As a result of this unique funding opportunity, these organizations were able to partner together for the first time and to introduce an innovative approach to reaching climate risk stakeholders in the Caribbean.

Workshop participants represented the Barbados Red Cross, Caribbean Disaster Emergency Management Agency (CDEMA), United Nations Development Programme (UNDP), Caribbean Institute for Meteorology & Hydrology (CIMH), Community Disaster Response Teams (CDRT), and the University of the West Indies’ Centre for Resource Management and Environmental Studies (CERMES). By connecting relevant parties from Barbados and around the region on new participatory approaches to adaptation, this workshop explored how interactive resources and game-based activities can assist in the task of communicating climate change information and invoking grassroots participation within Caribbean communities. As a direct result of this workshop, Professor Tran is now discussing future plans to formally adapt and disseminate some of the games presented at the workshop - like Humans vs. Mosquitoes - as well as new climate-related topics with communities in the Caribbean.","Trinidad & Tobago","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Turkey","Service Activities"
"Petty Offense Communication Workshop","1-day workshop with international human rights advocates dedicated to decriminalizing petty offenses and therefore poverty and homelessness. Participants were invited ahead of a 2-day symposium hosted by the School of Law's Human Rights Clinic. 25 people from across Africa (including South Africa, Nigeria, Kenya, Uganda) Caribbean, Israel, and the US received communication training re: media interviews, social media, design thinking for specific audiences and contexts, and storytelling in general. Sessions lead by School of Communication faculty, Miami journalists, and members of Open Society Foundations, which sponsored the workshop.","Uganda","Education"
"PSA and Video Interventions for Couple Testing for HIV in Uganda","Based on formative research, this project developed a video and a PSA and tested them for their effectiveness to encourage couple testing for HIV in Uganda. 
Ramaprasad, J. (2013). Effect of a public service announcement on couple testing for HIV in Uganda on beliefs and intent to act. In Jan Servaes (Ed.), Sustainability, Participation and Culture in Communication: Theory and Praxis (pp. 323-342). Bristol-Chicago: Intellect-University of Chicago Press.
Ramaprasad, J. (2011). Couple testing for HIV: Evaluating effectiveness of a video in Uganda. Journal of Health and Mass Communication (online), 3(1-4), 206-228.","Uganda","Research"
"International Exchange Program, Board Member, Global Ties, State Dept. Affiliate","Board Member since 2010. International government,  community leaders come to UM to engage  students and faculty.","United Arab Emirates","Education"
"External Dissertation Examiner","Dr. Sallie Hughes performed as an external examiner for a PhD candidate's dissertation at the University of Leeds, UK.","United Kingdom","Education"
"Study Abroad London, Galapagos Islands, Sweden","Created and led study abroad programs in London, Galapagos, Sweden beginning in 2010","United Kingdom","Education"
"Transatlantic Cruise, NYTimes Lecturer on War, Climate Change, Galapagos","NYTImes lecturer on QE II, Research, Southampton, Edinburgh and Glasgow, Scotland","United Kingdom","Education"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","United Kingdom","Service Activities"
"Petty Offense Communication Workshop","1-day workshop with international human rights advocates dedicated to decriminalizing petty offenses and therefore poverty and homelessness. Participants were invited ahead of a 2-day symposium hosted by the School of Law's Human Rights Clinic. 25 people from across Africa (including South Africa, Nigeria, Kenya, Uganda) Caribbean, Israel, and the US received communication training re: media interviews, social media, design thinking for specific audiences and contexts, and storytelling in general. Sessions lead by School of Communication faculty, Miami journalists, and members of Open Society Foundations, which sponsored the workshop.","United States","Education"
"2030 Sustainable Development Goals (SDGs) Game","As an official facilitator of the 2030 SDGs Game lead a demo session of this simulation, social impact game with the university community. We had 70+ participants, who were mainly undergraduate students but also graduate students, faculty, and staff. The game session was co-sponsored by the School of Communication, the Public Health program at the School of Nursing and Health Studies, Abess Center, MS in Sustainable Business at the School of Business, and student groups Climate Reality Project and Green Grad Group. 

Students worked in teams to imagine a (not so) sustainable future and how their decision making impacted their world’s in achieving the UN global goals (i.e. 2030 Sustainable Development Goals). The short version of gameplay was followed by debriefing for how it is critical to not be narrow or short-sighted and how we must strike a balance (economically, environmentally, and socially) if we want to achieve these goals.

Learn more about the 2030 Sustainable Development Goals (SDGs) Game @ https://2030sdgsgame.com/","United States","Education"
"New Faces of the Cuban Diaspora","Dr. Sallie Hughes co-taught a grant-funded course that was a hybrid seminar and media lab focusing on newly arrived Cuban immigrants in Miami. Newer arrivals come with fewer resources than early waves of Cuban immigrants and currently arrive with initially undocumented immigration status (and many are being deported under the Trump administration). These immigrants are/were often ignored or stigmatized in mainstream media outlets, although there is a bit more sensitivity only two years after this course. The course taught students about the history of the Cuban community in Miami as well as the current realities of the community. It tested immersive reporting and teaching techniques for covering immigrant communities.","United States","Education"
"Media Law Res. Center: Legal Issues Concerning  Hispanic & Latin Am. Media","Conference co-sponsored with Media Law Resource Center (MLRC) and UM law school regarding media law issues in Latin American.  It is open to faculty as well as students.  Lawyers and executives from the US and Latin America attend.
https://www.medialaw.org/miami","United States","Education"
"Study Abroad London, Galapagos Islands, Sweden","Created and led study abroad programs in London, Galapagos, Sweden beginning in 2010","United States","Education"
"International and Global/Local Reportage on UM student newscasts","UMTV is UM's award-winning TV station, where TV shows and programs are produced entirely by students under the supervision of experienced faculty members. 

Professor Treadwell is one of the faculty advisors for UMTV student newscasts, which produce many news stories of international and global-local relevance.  The newscasts also use reports from UM students who are studying abroad. For example, the news program Newsvision just aired a story on the Hong Kong protest that a student did on site. 

Participation is open to all students from all UM schools, and no experience is required. Students can choose from eight different shows, audition to be on air, and/or fill in various roles during the shows' productions. It is a great experience for anyone who is interested in working for a TV station.","United States","Education"
"Center for International Media Education (CIME), GA State University","As a graduate research assistant, I helped GSU Department of Communication faculty members with their academic research and work. In particular, I worked with Dr. Leonard Teel in creating the Center for International Media Education (CIME) and the Arab-US Association for Communication Educators (AUSACE). I helped organize gatherings, workshops, conferences, meetings, forums, etc. as well as the day-to-day operations of these two organizations.","United States","Education"
"Latin American and Hispanic Media Legal Issues Conference","Media Law Resource Center - 
https://www.medialaw.org/miami
Legal Issues Concerning Hispanic and Latin American Media

Students and faculty welcome, please contact Prof. Francois to receive complimentary admission","United States","Education"
"Roadmap to Opportunity-Immigrant Guide to Education and Professional Development","Our interdisciplinary team is currently researching and prototyping Roadmap to Opportunity, an evidence-based decision support tool, specifically for late-arriving refugees and immigrant adolescents to understand the education and professional development options available to them.

The initial scope of this roadmap focuses on paths available to students in GED programs, resources and opportunities specific to Miami-Dade County, and where possible we can make clear what information is generalizable at the state level and nationally. We have interviewed individuals who have gone through a GED program and will continue to interview them and consult with subject matter experts on the personas and scenarios we developed based on these interviews. After we have a proof of concept specific to the GED setting and Miami-Dade County, we hope to scale the decision support tool to be implemented in different settings (e.g. refugee resettlement programs, shelters for unaccompanied immigrant minors) and cover south Florida and beyond. This tool even has the possibility to scale to a more general population including first-generation college students.

This decision support tool will likely be available online and in English and Spanish initially.

This is a transnational project relevant to immigrant and refugee communities, focused initially on but not limited to those coming to Miami / the U.S. from Latin America, Caribbean, and South America. However, aspects of the project will be relevant to all immigrant and refugee communities and eventually could be expanded to be relevant to all those seeking higher education and professional development opportunities.

This is a partnership between UM School of Communication and UM School of Education and Human Development with support from the University of Miami Institute of Advanced Study of the Americas.","United States","Research"
"Carbon Finance Video Interview Series - Director/Producer","Professor Sanjeev Chatterjee, commissioned by the World Bank Carbon Finance division, created a YouTube Channel on the subject of Carbon Finance.","United States","Research"
"Immigration Games (Amiguia Americana)","Adapting to American culture and lifestyle can be challenging, so we’ve put together activities that can help ease this process for future generations of Latino immigrant youth. Amiguía Americana provides those willing to help these youth with a hub of interactive, fun, and easy-to-use resources designed and selected for immigrant youth. For more, please visit: immigrationgames.com","United States","Research"
"Transnational Consumer Behavior Research","Dr. Tsai's research focuses on transnational consumers, including Hispanic and Asian immigrants as well as international students","United States","Research"
"Focus Groups on Sun Safety with Immigrant Hispanic Parents Living in Miami","We conducted focus groups to understand the sunsafe behavior among Hispanic families living in Miami. Many of our participants were immigrants to the US living in Miami.","United States","Research"
"Public Relations and Internal Communication research in South Korea, Italy, US","Dr. Lee's research focuses on public relations and internal communication practices in a global setting. She has examined and compared organizations' internal communication programs and employee behaviors in U.S., South Korea, and Italy.","United States","Research"
"Cross-cultural research in Asia and among Asian immigrants in the US","Dr. Li conducts research in different cultural contexts, both within the United States (e.g, Asian immigrant community) and outside of the United States (e.g., Taiwan and India). Her primary research interests are public relations and health communication with a focus on the strategic planning, application, and evaluation of communication campaigns that mobilize publics and facilitate health education, promotion, and equality. Specifically, she has investigated topics such as mental health advocacy, sexual assault awareness, hospital-community partnerships, and cultural influence on environmental corporate social responsibility.","United States","Research"
"Childrens' Film the Global Crisis of Single Use Plastic : Refuse, Reuse, Recycle","Professor Chatterjee was the writer on a short film ""Refuse, Reuse, Recycle"" commissioned by California based Plastic Ocean Foundation. Although a U.S. commissioned film, the project addresses the global crisis of single use plastic pollution of oceans. The project website along with the film was launched in October 2019. See it at https://earthsekko.com/","United States","Research"
"Goombay Plaza Documentary","Professor Chatterjee is working with the University of Miami, School of Architecture, towards the creation of a documentary film about the building of the community owned Goombay Plaza in Coconut Grove, the traditional neighborhood of Bahamian people who came to work on the Miami Henry Flagler built. Since the early 2000s, the UM School of Architecture has been deeply invested in fighting gentrification in the ""West Grove."" The project was started by the Late Shamina Qureshi who came to UM on a Henry Luce Professorship  and her husband the late Richard Shepherd as part of the School's community engagement. I have been associated with that work since its inception and Goobay Plaza is the latest project.","United States","Research"
"Global Climate Change Book Author. Hurricane Force, MacMillian, 2005.","Professor Treaster is author of Hurricane Force, a global climate change book on hurricanes and warming oceans. Details are here: https://us.macmillan.com/books/9780753460863","United States","Research"
"Biography of former US Federal Reserve Chairman Paul Volcker","Professor Treaster wrote the biography of the former  US Federal Reserve Chairman, Paul Volcker, whose decisions had global implications. Bio in English, Chinese, Japanese, German, Spanish, others","United States","Research"
"Global Reach in Research, Writing, Teaching (in about 100 countries)","Professor Treaster has worked in about 100 countries during his 30-year career in journalism and journalism education.","United States","Research"
"International Workshop on Deep Learning for Music","Dr. Ching-Hua Chuan worked with researchers in foreign universities in France, the Netherlands, Singapore, and the U.S., to organize the International Workshop on Deep Learning for Music, May 18-19, 2017, Anchorage","United States","Research"
"News and News - Global News Website","Mrs. Boriana Treadwell serves as the part-time Supervising Editor of www.newsandnews.com, a news aggregating website, created and managed by professional journalists, who work on it 24/7 from all corners of the world. News and News is an independent and non-partisan news source that strives to be your antidote to the biased and made-up news epidemic. Its goal is to keep readers informed while helping them cut through the maddening noise.
News and News bring the readers updated, impartial, and reliable information, all day, every day. I am part of a team of real people based in the U.S., Europe, and Asia who decide what we post, while constantly reviewing news sources across the political spectrum.  Every article selected is analyzed to ensure News and News reflects our complex and ever-changing world.","United States","Research"
"Global Media Bridge (Media Relations Director)","In her role as Media Relations Director at Global Media Bridge, Mrs. Boriana Treadwell, worked with global organizations such as WHO, ACA, UICC, Eli Lilly, and others on raising awareness for large-scale health initiatives through global, regional, and national media coverage. An active part of her job was the production of health-related VNRs and PSAs, and the organization of their placement on broadcast and digital media in the United States and abroad.","United States","Research"
"Producer/International Assignment Editor, CNN and CNN International","Responsible for the direct handling of the coordination and facilitation of editorial, logistical and technical details essential to the CNN News Group's news-gathering needs
Communicated with and assisted over 1,300 international and U.S.-based affiliates with their news-gathering needs and requests, and facilitate a great flow of original content to and from CNN for use on all platforms
Produced daily satellite feeds of original CNN content and distributed to affiliates via CNN NewSource digital distribution system
Package produced, wrote and copy edited package and voice over scripts and font pages
Monitored and routed up live events for affiliates
Built and maintained an interactive news-gathering website and web-based video delivery system for transmitting video and information Utilize social media as a news-gathering tool
Responsible for producing and writing CNN World Report (later called CNN WorldView), the longest-running show on CNN International
Wrote and voiced in-house packages
Communicated with over 350 contributing stations from more than 200 countries and territories; commissioned stories, approved and copy edited contributors' scripts
Created FTP accounts, managed FTP feeds, resolved FTP issues; also fed video via satellite
Took part in the selection of participants in the CNN Journalism Fellowship Program; worked with them on package producing, script writing, storytelling and other editorial skills
Filled in as producer and writer on other feature shows (Impact Your World; Marketplace Middle East; EcoSolutions)
Researched, wrote, produced and shot in-house packages for various programs (Impact Your World, iReport for CNN; Inside Africa)
Wrote for CNNI news shows
Created sponsored vignettes and promos for specials
Booked crews, field-produced, and conducted interviews
Translated from Bulgarian and Russian for air when needed
Managed the CNN World Report website","United States","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","United States","Service Activities"
"Global Game Jam","Dr. Lindsay Grace served on the board of directors for this global organization for 5 years. 

The Global Game board organized the world's largest physical game jam. In 2019, 860 sites, from 113 countries, had 47,006 registered participants building 9010 games.  

Global Game Jam® (GGJ™)

The Global Game Jam® (GGJ) is the world's largest game jam event (game creation) taking place around the world at physical locations. Think of it as a hackathon focused on game development. It is the growth of an idea that in today’s heavily connected world, we could come together, be creative, share experiences and express ourselves in a multitude of ways using video games – it is very universal. The weekend stirs a global creative buzz in games, while at the same time exploring the process of development, be it programming, iterative design, narrative exploration or artistic expression. It is all condensed into a 48-hour development cycle. The GGJ encourages people with all kinds of backgrounds to participate and contribute to this global spread of game development and creativity.","United States","Service Activities"
"Arab-US Association for Communication Educators (AUSACE)","Dr. Karin Wilkins serves as a board member of the Arab-US Association for Communication Educators.

The Arab-U.S. Association for Communication Educators (AUSACE) 
Established in 1995, AUSACE encourages and supports the advancement of professional relationships among Arab and U.S. university faculty, students and media professionals.

http://www.ausace.org/","United States","Service Activities"
"Latin American Studies Association (LASA)","The Latin American Studies Association (LASA) is the largest professional Association in the world for individuals and institutions engaged in the study of Latin America. With over 12,000 members, over 65 percent of whom reside outside the United States, LASA is the one association that brings together experts on Latin America from all disciplines and diverse occupational endeavors, across the globe.","United States","Service Activities"
"Editorial Board Member Reviewing International Submissions","Manuscript reviewer, Journalism & Mass Communication Quarterly. Received numerous international submissions.","United States","Service Activities"
"Women and Film History Internationally","Faculty and Graduate students are eligible to participate. Professor Christina Lane serves as Membership Secretary of Women and Film History International, dedicated to promoting women's film histories worldwide. The organization holds conferences in locations around the globe, including in Guadalajara, Utrecht, Melbourne, Bologna, Shanghai, and Amsterdam. It promotes collaboration among scholars and research in archives located internationally. (Secretary appointment began in July 2019. Membership began 2007.)","United States","Service Activities"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Uruguay","Research"
"Worlds of Journalism Study - Latin American and Caribbean Network (WJS3-LAC)","The Worlds of Journalism Study is the largest comparative study of working journalists in the world. It uses a comparative survey-based methodology. In the second wave researchers in or working on 60 countries interviewed more than 22,000 journalists about professional worldviews, working conditions, professional autonomy, and influences on work. For the third round journalist safety and risk, precarity and epistemology (views of fact-based truth) will also be studied. Dr. Sallie Hughes coordinates researchers in or working on 15 countries in Latin America and the Caribbean who are participating in the third round.","Venezuela, RB","Research"
"The Journalism at Risk Project: Retreat, Resistance, Renewal and Resiliency","This study measures multiple impacts of the hostile media environment across the Western Hemisphere on journalists as human beings with fundamental rights and as actors in a societal institution with vital importance for the quality of democracy and society. It further assesses how journalists are coping with hostile conditions and offers recommendations to increase support for journalists to journalist associations, news media organizations, NGOs, IGOs, and allies in governments. Researchers in Journalism Studies and Psychology participate in the study.","Venezuela, RB","Research"
"Higher Education Video Game Alliance (HEVGA)","Our mission is to create a platform for higher education leaders which will underscore the cultural, scientific, and economic importance of video game programs in colleges and universities. The key is to create a robust network of resources—including unified advocacy, policymaker engagement, media coverage, and external funding—in order to incubate and harness the impact of this community in a 21st-century learning environment.  HEVGA has a network of more than 175 global member institutions, issues annual reports on the global state of game focused education, and conducts workshops, training, and events to support game educators.

Learn more at https://hevga.org/about/","Venezuela, RB","Service Activities"
"Area Expert, Indochina. 14-days, NYTimes Travel Business, Times Journeys","Lectures and group discussions, history, culture, war-time experiences","Vietnam","Education"
"Increasing EIMC uptake in Zambia: Like Father, Like Son","Early Infant Medical Circumcision (EIMC, performed during the first 60 days of life). EIMC is a safer, simpler and less expensive procedure than adult VMMC with shorter healing times (Weiss et al., 2010; Binagwaho 2010; WHO/UNAIDS 2007). In addition to offering lifetime protection from several diseases, EIMC has been associated with improved penile hygiene and fewer urinary tract infections which are prevalent in uncircumcised infants. By increasing the availability and acceptability of both EIMC and VMMC, the overall population health benefit of male circumcision could be realized in less than one generation. Consequently, as VMMC promotion began, the GRZ Ministry of Health (MOH) began development of an Early Infant Medical Circumcision (EIMC) program as a longterm HIV prevention solution for the ~360,000 male neonates born yearly in Zambia (GRZ Central Statistics Office, 2018). However, among 2000 Zambian pregnant women provided with information on EIMC, 97% agreed they would circumcise their infant if  they had a boy, but only 11% actually did so (Waters et al., 2013). More recently, the 2016-2020 GRZ VMMC operating plan (Republic of Zambia Ministry of Health, 2016) reported significantly lower uptake of infant MC had been achieved by 2015 than originally targeted. In fact, as of October 1, only 1,181 of the 362,078 newborn males in 2018 underwent EIMC (GRZ Central Statistics Office, 2018; clinic data); in EIMC trained clinics in Lusaka, only ~0.02% of male infants were circumcised in 2018 (clinic data).

The proposed study seeks to address this discordance by developing and testing an innovative “father and son” biobehavioral demand generation strategy, providing on-site availability of EIMC and VMMC services embedded in the Spear & Shield behavioral intervention. The program, entitled “Like Father, Like Son” (LFLS), will evaluate the feasibility and acceptability of promoting and offering combined EIMC and VMMC services and behavioral interventions, building on successful implementation strategies utilized in S&S.","Zambia","Research"
